Mesh Size (h),Polynomial Degree d,Interface Width,Total DoFs,Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope
0.01,1,0.31622776601683794,13534,0.318852966999998,4,3.1622776601583795,4.0473092877441506,0.29872424106353257
0.01,1,0.23357214690901226,12726,0.2661714920000051,4,4.281332398701063,4.430698669706752,0.29872424106353257
0.01,1,0.1725210549942041,12120,0.18876788399999356,5,5.796393953351369,4.850405369608074,0.29872424106353257
0.01,1,0.12742749857031338,11514,0.23999845699999156,5,7.847599703453027,5.309869617262008,0.29872424106353257
0.01,1,0.09412049672680671,11312,0.203756477000006,6,10.624678308827525,5.812857525059656,0.29872424106353257
0.01,1,0.06951927961775606,10908,0.4860952200000028,6,14.384498882669714,6.363491957841321,0.29872424106353257
0.01,1,0.05134832907437552,10908,0.2708571629999952,7,19.474830398708292,6.96628632697814,0.29872424106353257
0.01,1,0.0379269019073225,10706,0.23842716300000433,7,26.366508986608387,7.6261815856649475,0.29872424106353257
0.01,1,0.028013567611988685,10504,0.32947684399999844,8,35.69698846698637,8.348586728665374,0.29872424106353257
0.01,1,0.0206913808111479,10504,0.255761315000008,9,48.3293023833818,9.139423128475329,0.29872424106353257
0.01,1,0.015283067326587695,10504,0.7309595449999975,11,65.43189129284832,10.005173071317113,0.29872424106353257
0.01,1,0.011288378916846895,10504,0.3272195089999954,13,88.58667903316062,10.952932890801362,0.29872424106353257
0.01,1,0.008337822234717891,10302,0.23297511599999865,14,119.93539460653894,11.990471134779867,0.29872424106353257
0.01,1,0.006158482110660267,10302,0.2961784250000079,15,162.37767389250556,13.126292242168004,0.29872424106353257
0.01,1,0.004548777947003778,10302,0.3202674650000077,16,219.83926483789958,14.369706251679341,0.29872424106353257
0.01,1,0.003359818286283781,10302,0.39902908899999545,16,297.6351440745452,15.730905113856691,0.29872424106353257
0.01,1,0.0024816289228368265,10302,0.30964647400000445,17,402.9611318576623,17.221046231909398,0.29872424106353257
0.01,1,0.0018329807108324356,10302,0.3044280070000056,18,545.5594778192169,18.85234391611884,0.29872424106353257
0.01,1,0.0013538761800225446,10302,0.29939432999999127,18,738.6199816623764,20.638169501439105,0.29872424106353257
0.01,1,0.001,10302,0.28500790399999687,19,999.999999,22.59316094892917,0.29872424106353257
