Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations
0.31622776601683794,1,0.01,,226,66,0.6385536369999727,28
0.31622776601683794,2,0.01,,810,130,0.3405468539999674,26
0.15848931924611134,1,0.01,,626,128,0.25987818699991294,30
0.15848931924611134,2,0.01,,2330,254,0.319448356999942,20
0.07943282347242814,1,0.01,,2068,254,0.47314165399996,24
0.07943282347242814,2,0.01,,7932,506,0.5166778680001016,11
0.039810717055349734,1,0.01,,6944,504,0.7699639799999431,21
0.039810717055349734,2,0.01,,27108,1006,0.8344645519999858,3
0.0199526231496888,1,0.01,,26065,1004,1.2959768480000093,16
0.0199526231496888,2,0.01,,102938,2006,3.9464797649999355,2
0.01,1,0.01,,98215,2002,5.508784622000121,9
0.01,2,0.01,,390238,4002,39.03739219299996,2
