Scenario,Mesh Size (h),Interface Width,Total DoFs,Interface Error,Std
independent,0.31622776601683794,0.1,222,0.0857076235540338,0.01007295884227101
independent,0.1333521432163324,0.1,847,0.03655250183026222,0.002260683840983291
independent,0.05623413251903491,0.1,3660,0.025701128204302936,0.0007675475905461281
independent,0.023713737056616554,0.1,18596,0.011181941418436623,0.00014889174437167718
independent,0.01,0.1,100765,0.00508626059849884,2.92236287679358e-05
conforming,,0.1,330,3.0618494408786643e-07,5.3793738495194414e-08
conforming,,0.1,1946,2.9220865282930215e-06,1.533575269454198e-07
conforming,,0.1,5044,3.5326383668443905e-06,7.924042443285954e-08
conforming,,0.1,14503,1.4840852239005989e-06,2.1198434811730922e-08
conforming,,0.1,99131,1.4058471302014715e-05,6.825224423041797e-08
