Method,Mesh Size (h),Total DoFs,Time (s),Iterations
Alternating,0.31622776601683794,24,0.7555410429995391,20
Algebraic,0.31622776601683794,24,0.15503509799964377,3
Matrix-Free,0.31622776601683794,24,0.0685415349989853,3
Alternating,0.2697953640073,30,0.6779912660003902,19
Algebraic,0.2697953640073,30,0.021781178999844997,4
Matrix-Free,0.2697953640073,30,0.07462802800000645,4
Alternating,0.23018073130224664,30,0.6788402740003221,19
Algebraic,0.23018073130224664,30,0.02462373700018361,4
Matrix-Free,0.23018073130224664,30,0.08079847899989545,4
Alternating,0.196382800192977,48,1.010353646999647,17
Algebraic,0.196382800192977,48,0.05523982500017155,4
Matrix-Free,0.196382800192977,48,0.10661734999939654,4
Alternating,0.16754749189233412,56,0.6671370220001336,16
Algebraic,0.16754749189233412,56,0.020379019999381853,5
Matrix-Free,0.16754749189233412,56,0.11920416700013448,5
Alternating,0.14294613383568447,80,0.7353377399995225,15
Algebraic,0.14294613383568447,80,0.05329415800042625,5
Matrix-Free,0.14294613383568447,80,0.12795143499988626,5
Alternating,0.12195704601594415,108,0.7272147980002046,14
Algebraic,0.12195704601594415,108,0.038281646999166696,5
Matrix-Free,0.12195704601594415,108,0.11046545799945306,5
Alternating,0.10404983103657856,132,0.7847828140002093,14
Algebraic,0.10404983103657856,132,0.04470451500037598,5
Matrix-Free,0.10404983103657856,132,0.1425168540008599,5
Alternating,0.08877197088985865,168,0.7959937989999162,13
Algebraic,0.08877197088985865,168,0.03696333800053253,5
Matrix-Free,0.08877197088985865,168,0.11677847400005703,5
Alternating,0.0757373917589501,224,0.8173801030006871,13
Algebraic,0.0757373917589501,224,0.041004280999914045,5
Matrix-Free,0.0757373917589501,224,0.12315801000022475,5
Alternating,0.0646167078746697,320,0.915800517000207,13
Algebraic,0.0646167078746697,320,0.03600762099995336,5
Matrix-Free,0.0646167078746697,320,0.14123191200087604,5
Alternating,0.05512889788770675,418,1.094290109999747,13
Algebraic,0.05512889788770675,418,0.03994380499989347,5
Matrix-Free,0.05512889788770675,418,0.13748877800026094,5
Alternating,0.047034203416986345,572,1.0125335299999279,13
Algebraic,0.047034203416986345,572,0.03541872199912177,5
Matrix-Free,0.047034203416986345,572,0.09359698000025674,5
Alternating,0.040128070319427764,780,2.641590527000517,13
Algebraic,0.040128070319427764,780,0.06170895099967311,5
Matrix-Free,0.040128070319427764,780,0.18744085199978144,5
Alternating,0.03423597957607582,1020,3.0067659970000022,13
Algebraic,0.03423597957607582,1020,0.0642451429994253,5
Matrix-Free,0.03423597957607582,1020,0.196392003001165,5
Alternating,0.029209037170322485,1400,4.5369999029999235,13
Algebraic,0.029209037170322485,1400,0.083538986998974,5
Matrix-Free,0.029209037170322485,1400,0.25913813700026367,5
Alternating,0.024920211513780568,1886,5.137201647999973,13
Algebraic,0.024920211513780568,1886,0.10314472399932129,5
Matrix-Free,0.024920211513780568,1886,0.2846038410007168,5
Alternating,0.021261123338996567,2592,7.158436308999626,13
Algebraic,0.021261123338996567,2592,0.15563515599933453,4
Matrix-Free,0.021261123338996567,2592,0.27261740699941583,4
Alternating,0.018139306939110623,3472,9.20365077399947,13
Algebraic,0.018139306939110623,3472,0.21863414000017656,4
Matrix-Free,0.018139306939110623,3472,0.2166716819992871,4
Alternating,0.015475873545578892,4884,12.214080170999296,13
Algebraic,0.015475873545578892,4884,0.15856644099949335,4
Matrix-Free,0.015475873545578892,4884,0.6211509229997318,4
Alternating,0.013203517797162948,6622,22.066642072999457,13
Algebraic,0.013203517797162948,6622,0.2949983180005802,4
Matrix-Free,0.013203517797162948,6622,3.1858929129994067,4
Alternating,0.011264816923358862,9000,23.036478396999883,13
Algebraic,0.011264816923358862,9000,0.24262510299922724,4
Matrix-Free,0.011264816923358862,9000,0.943086977999883,4
Alternating,0.009610779662375923,12180,36.7167902150004,13
Algebraic,0.009610779662375923,12180,0.3100383450009758,4
Matrix-Free,0.009610779662375923,12180,1.6050735100006932,4
Alternating,0.008199608244604943,16728,47.0505048290006,13
Algebraic,0.008199608244604943,16728,0.3872694070005309,4
Matrix-Free,0.008199608244604943,16728,4.131818010999268,4
Alternating,0.006995642156712634,23040,74.6797345039995,13
Algebraic,0.006995642156712634,23040,0.45328590699955384,4
Matrix-Free,0.006995642156712634,23040,2.8845858040003804,4
Alternating,0.0059684569951223105,31434,96.42983844799983,13
Algebraic,0.0059684569951223105,31434,1.1474086590005754,4
Matrix-Free,0.0059684569951223105,31434,14.128630316999988,4
Alternating,0.0050920956367733975,42946,194.3582393300003,13
Algebraic,0.0050920956367733975,42946,1.7900426269998206,4
Matrix-Free,0.0050920956367733975,42946,5.351497796000331,4
Alternating,0.004344412298729368,59136,175.98222716100008,13
Algebraic,0.004344412298729368,59136,0.894746254999518,3
Matrix-Free,0.004344412298729368,59136,21.43503199799943,3
Alternating,0.0037065129109221566,80758,242.44676029400034,13
Algebraic,0.0037065129109221566,80758,1.5299845230001665,3
Matrix-Free,0.0037065129109221566,80758,14.71399407699937,3
Alternating,0.0031622776601683794,110950,436.18339651600036,13
Algebraic,0.0031622776601683794,110950,2.3136637450006674,3
Matrix-Free,0.0031622776601683794,110950,20.1707403219998,3
