Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2
0.1,1,0.1,0.0,17794,3010,1.777512999999999,24,10.0,20.587000251078244,0.26680130533656293,0.8424327307962555
0.1,1,0.1,0.04736842105263158,17743,2864,0.9539883830000022,15,10.0,13.805293721762359,0.3792035960907777,0.9736084200318649
0.1,1,0.1,0.09473684210526316,17671,2722,0.870247587999998,15,10.0,13.967723843341973,0.3792035960906883,0.9803874688656216
0.1,1,0.1,0.14210526315789473,17653,2580,0.709285278000003,16,10.0,14.65456665549894,0.35747905485747505,0.966966668009131
0.1,1,0.1,0.18947368421052632,17706,2438,0.6416066990000004,16,10.0,14.536964743096442,0.35218251810877527,0.9597384695367823
0.1,1,0.1,0.2368421052631579,17691,2296,0.6032952999999992,15,10.0,13.692542247848738,0.37409401349994764,0.9674655941261708
0.1,1,0.1,0.28421052631578947,17679,2154,0.5796088479999995,15,10.0,13.915316358624091,0.36886129666069234,0.9771059151460045
0.1,1,0.1,0.3315789473684211,17670,2012,0.5864516440000003,15,10.0,13.77578853297674,0.36619687990821137,0.9703230149700173
0.1,1,0.1,0.37894736842105264,17731,1870,0.5426711179999941,14,10.0,13.088167689876089,0.37298328350192744,0.9818853135100948
0.1,1,0.1,0.4263157894736842,17664,1728,0.5275713579999959,14,10.0,12.980623306776291,0.367342778297098,0.9765954368768338
0.1,1,0.1,0.4736842105263158,17749,1584,0.5098985820000053,14,10.0,12.783037183349668,0.3525651565162406,0.9637209700873935
0.1,1,0.1,0.5210526315789474,17760,1442,0.6728885760000054,14,10.0,12.601687255902029,0.33339266047810995,0.9466402277199744
0.1,1,0.1,0.5684210526315789,17742,1300,0.7245729209999894,13,10.0,11.877645473465742,0.34611831083334504,0.9629214310298658
0.1,1,0.1,0.6157894736842106,17654,1158,0.616727271000002,14,10.0,12.667497632119213,0.3266062568833933,0.94961034175795
0.1,1,0.1,0.6631578947368422,17675,1016,0.51826650000001,13,10.0,11.788835817705477,0.3356932413467849,0.9541774264478238
0.1,1,0.1,0.7105263157894737,17756,874,0.5505271330000028,14,10.0,12.161841944215112,0.31601160734868006,0.8990744998027931
0.1,1,0.1,0.7578947368421053,17617,732,0.35749610000000587,13,10.0,11.672342315729546,0.30516625864175284,0.9341317847801605
0.1,1,0.1,0.8052631578947369,17759,590,0.331276809000002,13,10.0,11.206050663088034,0.28364894252942763,0.8657413669761125
0.1,1,0.1,0.8526315789473684,17729,448,0.9216408610000002,12,10.0,10.762018224887033,0.26680130532982327,0.9138757165829469
0.1,1,0.1,0.9,17636,306,0.41881135799999925,11,10.0,9.926228299296728,0.2385606273525838,0.9050628384255619
0.1,1,0.01,0.0,16970,3002,2.0250774240000027,28,100.0,38.053479640385,0.26680130533656293,0.8424327307962555
0.1,1,0.01,0.04736842105263158,17007,2860,2.4563221639999995,28,100.0,33.055919881070565,0.3792035960907777,0.9736084200318649
0.1,1,0.01,0.09473684210526316,16926,2718,1.3251913900000005,29,100.0,33.444848736430544,0.3792035960906883,0.9803874688656216
0.1,1,0.01,0.14210526315789473,17027,2576,1.6892568330000017,28,100.0,33.37736403631669,0.35747905485747505,0.966966668009131
0.1,1,0.01,0.18947368421052632,17009,2434,1.3478755889999974,27,100.0,32.70817067177214,0.35218251810877527,0.9597384695367823
0.1,1,0.01,0.2368421052631579,17032,2292,1.1848295590000077,27,100.0,32.4024689484589,0.37409401349994764,0.9674655941261708
0.1,1,0.01,0.28421052631578947,16894,2150,0.9664910939999913,28,100.0,32.53526743635315,0.36886129666069234,0.9771059151460045
0.1,1,0.01,0.3315789473684211,16938,2008,0.9587133790000166,27,100.0,32.01203974121516,0.36619687990821137,0.9703230149700173
0.1,1,0.01,0.37894736842105264,16946,1866,0.9333390959999974,27,100.0,30.893145808288736,0.37298328350192744,0.9818853135100948
0.1,1,0.01,0.4263157894736842,17040,1724,1.0482472409999843,26,100.0,30.24393704130488,0.367342778297098,0.9765954368768338
0.1,1,0.01,0.4736842105263158,16910,1580,0.7810563319999915,24,100.0,28.787185658070012,0.3525651565162406,0.9637209700873935
0.1,1,0.01,0.5210526315789474,16949,1438,0.6278503000000057,22,100.0,27.153221211188132,0.33339266047810995,0.9466402277199744
0.1,1,0.01,0.5684210526315789,16910,1296,0.6262135399999806,22,100.0,26.35412909898626,0.34611831083334504,0.9629214310298658
0.1,1,0.01,0.6157894736842106,16917,1154,0.8585927280000192,22,100.0,26.87182042874335,0.3266062568833933,0.94961034175795
0.1,1,0.01,0.6631578947368422,16946,1012,0.586847027999994,21,100.0,25.536663907686066,0.3356932413467849,0.9541774264478238
0.1,1,0.01,0.7105263157894737,16981,870,0.5756171760000086,19,100.0,25.177404791371114,0.31601160734868006,0.8990744998027931
0.1,1,0.01,0.7578947368421053,16887,728,0.4486480670000219,19,100.0,23.568083832576413,0.30516625864175284,0.9341317847801605
0.1,1,0.01,0.8052631578947369,16926,586,0.455702500000001,16,100.0,21.5328504492734,0.28364894252942763,0.8657413669761125
0.1,1,0.01,0.8526315789473684,16886,444,0.36000926400001276,16,100.0,19.89275933400673,0.26680130532982327,0.9138757165829469
0.1,1,0.01,0.9,16885,302,0.5497958999999923,14,100.0,17.19273174162303,0.2385606273525838,0.9050628384255619
0.1,1,0.001,0.0,16908,3002,4.3141087659999755,82,1000.0,70.33891752468176,0.26680130533656293,0.8424327307962555
0.1,1,0.001,0.04736842105263158,17011,2860,3.503978253999975,86,1000.0,79.15035067028369,0.3792035960907777,0.9736084200318649
0.1,1,0.001,0.09473684210526316,16989,2718,3.955044203,86,1000.0,80.08161670062694,0.3792035960906883,0.9803874688656216
0.1,1,0.001,0.14210526315789473,16961,2576,3.1984462000000065,83,1000.0,76.0205645244907,0.35747905485747505,0.966966668009131
0.1,1,0.001,0.18947368421052632,16995,2434,2.8976416090000043,81,1000.0,73.5933840110489,0.35218251810877527,0.9597384695367823
0.1,1,0.001,0.2368421052631579,17002,2292,3.847194642000005,84,1000.0,76.6782365868397,0.37409401349994764,0.9674655941261708
0.1,1,0.001,0.28421052631578947,16963,2150,3.052166476999986,82,1000.0,76.07039609264677,0.36886129666069234,0.9771059151460045
0.1,1,0.001,0.3315789473684211,17005,2008,2.486397052000001,81,1000.0,74.38925807695318,0.36619687990821137,0.9703230149700173
0.1,1,0.001,0.37894736842105264,16958,1866,2.528964866000024,78,1000.0,72.91979141361563,0.37298328350192744,0.9818853135100948
0.1,1,0.001,0.4263157894736842,16998,1724,2.107532252999988,76,1000.0,70.46624080685814,0.367342778297098,0.9765954368768338
0.1,1,0.001,0.4736842105263158,16989,1580,2.1665254819999973,71,1000.0,64.82826000002598,0.3525651565162406,0.9637209700873935
0.1,1,0.001,0.5210526315789474,16986,1438,1.8072599170000103,65,1000.0,58.50783368698523,0.33339266047810995,0.9466402277199744
0.1,1,0.001,0.5684210526315789,16951,1296,1.5523502469999926,64,1000.0,58.474562329513326,0.34611831083334504,0.9629214310298658
0.1,1,0.001,0.6157894736842106,17024,1154,1.4851229840000428,63,1000.0,57.00373934341328,0.3266062568833933,0.94961034175795
0.1,1,0.001,0.6631578947368422,16994,1012,1.2954027740000242,61,1000.0,55.31684498945223,0.3356932413467849,0.9541774264478238
0.1,1,0.001,0.7105263157894737,16970,870,1.172845945000006,60,1000.0,52.12217975995633,0.31601160734868006,0.8990744998027931
0.1,1,0.001,0.7578947368421053,16980,728,0.8805057779999856,53,1000.0,47.58724174759885,0.30516625864175284,0.9341317847801605
0.1,1,0.001,0.8052631578947369,16969,586,0.9540349879999894,48,1000.0,41.376187062766924,0.28364894252942763,0.8657413669761125
0.1,1,0.001,0.8526315789473684,16964,444,0.610002899000051,41,1000.0,36.77022893397541,0.26680130532982327,0.9138757165829469
0.1,1,0.001,0.9,17008,302,0.4527499459999831,33,1000.0,29.7786848968963,0.2385606273525838,0.9050628384255619
0.1,2,0.1,0.0,68102,6018,1.9438643750000324,11,10.0,9.681638841621078,0.3010299956566223,0.907632760721778
0.1,2,0.1,0.04736842105263158,67898,5726,1.9906302690000075,16,10.0,14.569274702801037,0.27965400545040586,0.9403029799770032
0.1,2,0.1,0.09473684210526316,67610,5442,2.2368942040000093,16,10.0,14.895489512212205,0.28701563386062334,0.9660486138360405
0.1,2,0.1,0.14210526315789473,67538,5158,1.8621736459999738,16,10.0,15.009255593853338,0.2941358534179066,0.9739722410368004
0.1,2,0.1,0.18947368421052632,67750,4874,2.9055260680000288,16,10.0,14.969283379483603,0.29761028339560996,0.9724538992041064
0.1,2,0.1,0.2368421052631579,67690,4590,2.823154920000036,15,10.0,14.148286194203243,0.31504435746023873,0.9808910921050068
0.1,2,0.1,0.28421052631578947,67642,4306,1.998848893999991,15,10.0,13.964521417715998,0.3150443574603386,0.9716574190637625
0.1,2,0.1,0.3315789473684211,67606,4022,1.8159157769999865,15,10.0,13.489482953890922,0.3046192879739855,0.9357197032050177
0.1,2,0.1,0.37894736842105264,67850,3738,1.5558878169999844,14,10.0,12.719844150393481,0.30102999565955235,0.9456991746659803
0.1,2,0.1,0.4263157894736842,67582,3454,2.741387645999964,14,10.0,13.254826594191098,0.2675566008438577,0.9768999475676513
0.1,2,0.1,0.4736842105263158,67922,3166,2.161937696999985,14,10.0,13.192012142145177,0.2535422390437725,0.969833217492134
0.1,2,0.1,0.5210526315789474,67966,2882,2.1541398169999866,13,10.0,11.70287322665349,0.22712918587492997,0.8919080788519647
0.1,2,0.1,0.5684210526315789,67894,2598,1.8410771100000147,13,10.0,11.911384252559737,0.30102999565859295,0.9544197599559121
0.1,2,0.1,0.6157894736842106,67542,2314,2.786540878999972,13,10.0,11.98950145628373,0.2925133260091368,0.9584970198418024
0.1,2,0.1,0.6631578947368422,67626,2030,3.463503976000027,12,10.0,11.062914570331895,0.3055074169839691,0.9614656146169963
0.1,2,0.1,0.7105263157894737,67950,1746,2.6881302209999944,12,10.0,10.793115984508496,0.31419446501888204,0.9394959929041492
0.1,2,0.1,0.7578947368421053,67394,1462,1.1693396530000086,11,10.0,10.09411152427899,0.3010299956563035,0.9559130446022412
0.1,2,0.1,0.8052631578947369,67962,1178,1.7714478959999838,11,10.0,10.00928961918045,0.28569558577317355,0.9418386537597245
0.1,2,0.1,0.8526315789473684,67842,894,1.3870605509999905,11,10.0,9.965307478102476,0.2634045194469303,0.9262821257110425
0.1,2,0.1,0.9,67470,610,0.8482067030000167,11,10.0,9.684027895503299,0.2385606273527725,0.8610171255785455
0.1,2,0.01,0.0,64810,6002,2.094936715000017,15,100.0,19.363277682914056,0.3010299956566223,0.907632760721778
0.1,2,0.01,0.04736842105263158,64958,5718,5.830373597000005,23,100.0,27.739072613185854,0.27965400545040586,0.9403029799770032
0.1,2,0.01,0.09473684210526316,64634,5434,9.134392081999977,25,100.0,28.84499140698762,0.28701563386062334,0.9660486138360405
0.1,2,0.01,0.14210526315789473,65038,5150,7.363718511999991,26,100.0,29.545749182042602,0.2941358534179066,0.9739722410368004
0.1,2,0.01,0.18947368421052632,64966,4866,6.153897337999979,26,100.0,29.703750845004464,0.29761028339560996,0.9724538992041064
0.1,2,0.01,0.2368421052631579,65058,4582,5.520264666999992,26,100.0,29.224574297086885,0.31504435746023873,0.9808910921050068
0.1,2,0.01,0.28421052631578947,64506,4298,5.079681916000027,25,100.0,28.844991406987766,0.3150443574603386,0.9716574190637625
0.1,2,0.01,0.3315789473684211,64682,4014,1.9794835219999527,22,100.0,27.202861579841557,0.3046192879739855,0.9357197032050177
0.1,2,0.01,0.37894736842105264,64714,3730,1.95276282399999,21,100.0,25.439688300527536,0.30102999565955235,0.9456991746659803
0.1,2,0.01,0.4263157894736842,65090,3446,2.1026339829999756,22,100.0,24.543169759531526,0.2675566008438577,0.9768999475676513
0.1,2,0.01,0.4736842105263158,64570,3158,1.74008397099999,21,100.0,23.65120549020759,0.2535422390437725,0.969833217492134
0.1,2,0.01,0.5210526315789474,64726,2874,1.4538112960000262,16,100.0,19.74338827005403,0.22712918587492997,0.8919080788519647
0.1,2,0.01,0.5684210526315789,64570,2590,1.3824856479999994,20,100.0,23.822768504823905,0.30102999565859295,0.9544197599559121
0.1,2,0.01,0.6157894736842106,64598,2306,1.4078021859999694,20,100.0,23.51334687810464,0.2925133260091368,0.9584970198418024
0.1,2,0.01,0.6631578947368422,64714,2022,1.4962858430000097,19,100.0,22.355118467877023,0.3055074169839691,0.9614656146169963
0.1,2,0.01,0.7105263157894737,64854,1738,1.2694691929999635,18,100.0,22.25057861651401,0.31419446501888204,0.9394959929041492
0.1,2,0.01,0.7578947368421053,64478,1454,1.1039762410000549,17,100.0,20.18822304820108,0.3010299956563035,0.9559130446022412
0.1,2,0.01,0.8052631578947369,64634,1170,1.0086589929999263,16,100.0,19.32408065733378,0.28569558577317355,0.9418386537597245
0.1,2,0.01,0.8526315789473684,64474,886,1.2789464129999715,15,100.0,18.276592247013387,0.2634045194469303,0.9262821257110425
0.1,2,0.01,0.9,64470,602,0.9803298220000443,13,100.0,16.773228336653403,0.2385606273527725,0.8610171255785455
0.1,2,0.001,0.0,64562,6002,4.79109939600005,44,1000.0,38.72655536517191,0.3010299956566223,0.907632760721778
0.1,2,0.001,0.04736842105263158,64974,5718,5.304831651000086,58,1000.0,52.8136207968997,0.27965400545040586,0.9403029799770032
0.1,2,0.001,0.09473684210526316,64886,5434,5.492904625999927,60,1000.0,55.85808566996333,0.28701563386062334,0.9660486138360405
0.1,2,0.001,0.14210526315789473,64774,5150,7.66253912500008,62,1000.0,58.16086542530907,0.2941358534179066,0.9739722410368004
0.1,2,0.001,0.18947368421052632,64910,4866,5.254051606999951,63,1000.0,58.94155330584307,0.29761028339560996,0.9724538992041064
0.1,2,0.001,0.2368421052631579,64938,4582,5.672155891999978,64,1000.0,60.366021094192924,0.31504435746023873,0.9808910921050068
0.1,2,0.001,0.28421052631578947,64782,4298,4.993248487999949,64,1000.0,59.58195804788871,0.3150443574603386,0.9716574190637625
0.1,2,0.001,0.3315789473684211,64950,4014,5.525136221000025,61,1000.0,54.857230678257736,0.3046192879739855,0.9357197032050177
0.1,2,0.001,0.37894736842105264,64762,3730,5.477608349999969,56,1000.0,50.87937660053621,0.30102999565955235,0.9456991746659803
0.1,2,0.001,0.4263157894736842,64922,3446,3.235743931999991,48,1000.0,45.44511975050424,0.2675566008438577,0.9768999475676513
0.1,2,0.001,0.4736842105263158,64886,3158,3.071849707999945,45,1000.0,42.40289617024746,0.2535422390437725,0.969833217492134
0.1,2,0.001,0.5210526315789474,64874,2874,2.6588300859999663,37,1000.0,33.308177644300876,0.22712918587492997,0.8919080788519647
0.1,2,0.001,0.5684210526315789,64734,2590,3.133268097999917,52,1000.0,47.645537009056675,0.30102999565859295,0.9544197599559121
0.1,2,0.001,0.6157894736842106,65026,2306,3.411920830999975,50,1000.0,46.11346713839455,0.2925133260091368,0.9584970198418024
0.1,2,0.001,0.6631578947368422,64906,2022,2.47552366900004,49,1000.0,45.173567827508165,0.3055074169839691,0.9614656146169963
0.1,2,0.001,0.7105263157894737,64810,1738,2.7062572669999554,51,1000.0,45.87074293283583,0.31419446501888204,0.9394959929041492
0.1,2,0.001,0.7578947368421053,64850,1454,4.219215421000058,44,1000.0,40.376446095688365,0.3010299956563035,0.9559130446022412
