Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations
0.1,1,0.1,,1327,202,0.2607367999999042,9
0.1,1,0.046415888336127795,,1326,202,0.08662191700022959,10
0.1,1,0.021544346900318846,,1325,202,0.12622847500006174,18
0.1,1,0.01,,1349,202,0.22753190500043274,26
0.1,2,0.1,,5038,402,0.10975523400065867,6
0.1,2,0.046415888336127795,,5034,402,0.15279080199979944,8
0.1,2,0.021544346900318846,,5030,402,0.1475212779996582,7
0.1,2,0.01,,5126,402,0.19116978799956996,15
0.1,3,0.1,,11135,602,0.2366406860001007,5
0.1,3,0.046415888336127795,,11126,602,0.1999484999996639,5
0.1,3,0.021544346900318846,,11117,602,0.18560127399996418,5
0.1,3,0.01,,11333,602,0.2927233250002246,12
0.07196856730011521,1,0.1,,2333,280,0.08479132699994807,8
0.07196856730011521,1,0.046415888336127795,,2395,280,0.20352233399989927,12
0.07196856730011521,1,0.021544346900318846,,2412,280,0.2581925289996434,17
0.07196856730011521,1,0.01,,2474,280,0.2604592110001249,24
0.07196856730011521,2,0.1,,8956,558,0.18464223299997684,5
0.07196856730011521,2,0.046415888336127795,,9208,558,0.209969479999927,6
0.07196856730011521,2,0.021544346900318846,,9276,558,0.22645205099979648,8
0.07196856730011521,2,0.01,,9524,558,0.27991380499952356,11
0.07196856730011521,3,0.1,,19871,836,0.3996910480000224,4
0.07196856730011521,3,0.046415888336127795,,20441,836,0.6250121559996842,5
0.07196856730011521,3,0.021544346900318846,,20594,836,0.33948748800048634,3
0.07196856730011521,3,0.01,,21152,836,0.38346580100005667,6
0.05179474679231213,1,0.1,,4379,388,0.17827681099970505,8
0.05179474679231213,1,0.046415888336127795,,4231,388,0.13549345600040397,10
0.05179474679231213,1,0.021544346900318846,,4301,388,0.19307184899935237,16
0.05179474679231213,1,0.01,,4338,388,0.22180179600036354,22
0.05179474679231213,2,0.1,,17000,774,0.2636827650003397,4
0.05179474679231213,2,0.046415888336127795,,16408,774,0.23785998200037284,3
0.05179474679231213,2,0.021544346900318846,,16688,774,0.28166747500017664,6
0.05179474679231213,2,0.01,,16836,774,0.2610162840001067,4
0.05179474679231213,3,0.1,,37865,1160,0.5908924410005056,3
0.05179474679231213,3,0.046415888336127795,,36533,1160,0.5034017990001303,2
0.05179474679231213,3,0.021544346900318846,,37163,1160,0.8000763350000852,2
0.05179474679231213,3,0.01,,37496,1160,0.7352978660001099,2
0.0372759372031494,1,0.1,,7952,538,0.16564970899980835,7
0.0372759372031494,1,0.046415888336127795,,7754,538,0.18934729500051617,10
0.0372759372031494,1,0.021544346900318846,,8001,538,0.2626161179996416,14
0.0372759372031494,1,0.01,,7816,538,0.32012578100057,21
0.0372759372031494,2,0.1,,31092,1074,0.4650510299998132,3
0.0372759372031494,2,0.046415888336127795,,30304,1074,0.6354532059995108,3
0.0372759372031494,2,0.021544346900318846,,31292,1074,0.4811216600000989,3
0.0372759372031494,2,0.01,,30556,1074,0.4503178619997925,3
0.0372759372031494,3,0.1,,69422,1610,1.337476181999591,2
0.0372759372031494,3,0.046415888336127795,,67652,1610,1.1476283910005805,2
0.0372759372031494,3,0.021544346900318846,,69875,1610,1.5331406680006694,2
0.0372759372031494,3,0.01,,68222,1610,1.4393491820001145,2
0.02682695795279726,1,0.1,,14727,748,0.27351319099943794,6
0.02682695795279726,1,0.046415888336127795,,14551,748,0.3290862100002414,10
0.02682695795279726,1,0.021544346900318846,,14216,748,0.36558529600006295,11
0.02682695795279726,1,0.01,,14382,748,0.46472336599981645,17
0.02682695795279726,2,0.1,,57916,1494,1.0515336739999839,3
0.02682695795279726,2,0.046415888336127795,,57216,1494,1.0355071010008032,3
0.02682695795279726,2,0.021544346900318846,,55880,1494,1.0977079129997946,2
0.02682695795279726,2,0.01,,56544,1494,0.9173285179995219,2
0.02682695795279726,3,0.1,,129569,2240,3.041432695000367,2
0.02682695795279726,3,0.046415888336127795,,127997,2240,3.590740998000001,2
0.02682695795279726,3,0.021544346900318846,,124994,2240,5.8922580649996235,2
0.02682695795279726,3,0.01,,126488,2240,4.320560271999966,2
0.019306977288832506,1,0.1,,27840,1038,0.8722476189996087,6
0.019306977288832506,1,0.046415888336127795,,27211,1038,0.6650863369995932,7
0.019306977288832506,1,0.021544346900318846,,27516,1038,0.9279078409999784,12
0.019306977288832506,1,0.01,,26930,1038,0.6775855699997919,10
0.019306977288832506,2,0.1,,109986,2074,4.219402767000247,3
0.019306977288832506,2,0.046415888336127795,,107478,2074,2.5883347779999895,2
0.019306977288832506,2,0.021544346900318846,,108698,2074,4.536555566000061,2
0.019306977288832506,2,0.01,,106358,2074,2.972063586999866,2
0.019306977288832506,3,0.1,,246440,3110,15.845250202999523,2
0.019306977288832506,3,0.046415888336127795,,240803,3110,10.437080566000077,2
0.019306977288832506,3,0.021544346900318846,,243548,3110,10.713902257999507,2
0.019306977288832506,3,0.01,,238286,3110,9.81413109999994,2
0.013894954943731374,1,0.1,,52639,1442,1.3556781349998346,5
0.013894954943731374,1,0.046415888336127795,,52164,1442,1.1381947119998586,6
0.013894954943731374,1,0.021544346900318846,,51948,1442,1.3996926560002976,9
